r,b,swpd,livre,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,time
0,3,0,138216,110348,6117720,0,0,3448,65576,352,1412,3,1,68,28,0,21:21:28 2019-05-28
1,2,0,125784,110348,6129844,0,0,5924,32768,452,2339,8,1,67,25,0,21:21:29 2019-05-28
0,3,0,130836,95020,6140068,0,0,6620,63488,422,2866,7,1,70,23,0,21:21:30 2019-05-28
2,2,0,120312,95024,6150396,0,0,5192,36864,366,1739,6,1,69,24,0,21:21:31 2019-05-28
0,3,0,126108,83340,6156064,0,0,5752,32768,406,2193,6,1,69,25,0,21:21:32 2019-05-28
0,3,0,127036,83344,6155128,0,0,6164,61440,415,2235,7,1,71,21,0,21:21:33 2019-05-28
1,3,0,133344,83344,6149552,0,0,5060,34816,410,1513,6,0,72,22,0,21:21:34 2019-05-28
0,3,0,119424,83344,6163584,0,0,6644,32768,410,2393,8,1,69,23,0,21:21:35 2019-05-28
1,1,0,129392,83344,6153600,0,0,5832,7168,402,1954,6,1,70,23,0,21:21:36 2019-05-28
0,2,0,136572,83344,6146332,0,0,6664,0,431,2199,8,1,70,21,0,21:21:37 2019-05-28
0,2,0,124272,83344,6158832,0,0,6160,0,413,2199,7,1,69,23,0,21:21:38 2019-05-28
1,0,0,129272,81508,6155304,0,0,16764,48,588,1340,19,1,74,6,0,21:21:39 2019-05-28
1,0,0,119352,81504,6164952,0,0,20996,0,697,1609,23,1,73,3,0,21:21:40 2019-05-28
1,0,0,119508,81504,6164820,0,0,19488,40,700,1955,23,1,72,4,0,21:21:41 2019-05-28
1,0,0,130076,81504,6154052,0,0,20240,0,673,1489,23,1,74,3,0,21:21:42 2019-05-28
1,0,0,128652,81504,6155444,0,0,20996,0,668,1413,22,1,73,3,0,21:21:43 2019-05-28
1,0,0,127952,81512,6155732,0,0,20240,20,660,1569,22,1,74,4,0,21:21:44 2019-05-28
1,0,0,124364,81512,6159328,0,0,20224,0,646,1730,22,1,74,3,0,21:21:45 2019-05-28
1,0,0,120444,81512,6163460,0,0,21192,0,695,1951,22,1,74,3,0,21:21:46 2019-05-28
1,0,0,135352,81512,6148768,0,0,20240,0,665,1666,22,1,74,3,0,21:21:47 2019-05-28
1,0,0,130544,81512,6152764,0,0,20932,0,688,1704,22,1,75,3,0,21:21:48 2019-05-28
1,0,0,127584,81520,6155268,0,0,20240,20,668,1787,21,1,74,5,0,21:21:49 2019-05-28
0,1,0,122836,81520,6159856,0,0,20676,0,692,1803,22,1,74,3,0,21:21:50 2019-05-28
1,0,0,120120,81520,6162892,0,0,20240,4,643,1727,22,1,74,3,0,21:21:51 2019-05-28
3,0,0,134848,81520,6147944,0,0,21620,0,690,1660,22,1,74,3,0,21:21:52 2019-05-28
1,0,0,132644,81520,6150128,0,0,19528,0,648,1496,22,1,74,4,0,21:21:53 2019-05-28
1,0,0,129588,81528,6153324,0,0,20236,20,656,1593,22,1,73,4,0,21:21:54 2019-05-28
1,0,0,122744,81528,6158836,0,0,21348,0,676,1678,23,1,74,3,0,21:21:55 2019-05-28
0,1,0,119368,81532,6162800,0,0,21492,132,695,1635,22,1,74,3,0,21:21:56 2019-05-28
1,0,0,136400,81532,6145944,0,0,19472,0,645,1427,22,1,74,4,0,21:21:57 2019-05-28
1,0,0,131580,81532,6150492,0,0,21544,0,691,1638,22,1,73,3,0,21:21:58 2019-05-28
1,0,0,126784,81540,6154920,0,0,20624,48,656,1469,22,1,73,4,0,21:21:59 2019-05-28
1,0,0,123092,81540,6158672,0,0,20932,0,719,1983,23,1,74,3,0,21:22:00 2019-05-28
0,1,0,119400,81540,6162176,0,0,20676,0,655,1657,22,1,74,3,0,21:22:01 2019-05-28
1,0,0,135052,81540,6146112,0,0,20240,0,726,2061,23,1,74,3,0,21:22:02 2019-05-28
1,0,0,129376,81540,6151636,0,0,21632,0,672,1842,22,1,74,3,0,21:22:03 2019-05-28
1,0,0,128056,81548,6152772,0,0,19516,20,671,1911,21,1,72,5,0,21:22:04 2019-05-28
1,0,0,124760,81548,6155568,0,0,20244,0,682,1933,22,1,74,3,0,21:22:05 2019-05-28
0,1,0,130508,81552,6149240,0,0,15900,56320,616,1439,18,0,74,8,0,21:22:06 2019-05-28
0,2,0,123112,81556,6157292,0,0,4032,161792,412,1557,6,1,65,29,0,21:22:07 2019-05-28
1,1,0,127684,81556,6152512,0,0,6960,33792,439,1560,8,1,51,40,0,21:22:08 2019-05-28
0,3,0,119360,81564,6160944,0,0,4204,58404,346,1231,4,1,64,31,0,21:22:09 2019-05-28
0,3,0,127776,81564,6152396,0,0,5312,33792,427,1893,7,1,69,24,0,21:22:10 2019-05-28
0,3,0,133820,81564,6146060,0,0,6436,66560,422,1838,8,0,51,41,0,21:22:11 2019-05-28
0,3,0,121588,81568,6158252,0,0,5852,24576,393,1937,6,1,60,32,0,21:22:12 2019-05-28
1,3,0,128376,81568,6151344,0,0,5880,65536,387,1503,6,1,71,22,0,21:22:13 2019-05-28
0,3,0,134992,81568,6144700,0,0,6160,32768,394,1301,7,0,65,27,0,21:22:14 2019-05-28
0,3,0,127696,81568,6157192,0,0,6160,26648,413,2742,7,1,50,42,0,21:22:15 2019-05-28
1,2,0,132544,81572,6152124,0,0,6852,71680,449,2145,8,1,65,26,0,21:22:16 2019-05-28
0,2,0,121384,81572,6162728,0,0,5316,15360,397,1893,6,0,58,35,0,21:22:17 2019-05-28
1,1,0,128456,81572,6155796,0,0,5880,0,392,2311,6,1,69,24,0,21:22:18 2019-05-28
0,2,0,134164,81572,6150092,0,0,6876,0,410,2281,8,0,72,21,0,21:22:19 2019-05-28
1,1,0,121212,81576,6163160,0,0,5924,4,395,1856,7,1,68,25,0,21:22:20 2019-05-28
1,0,0,120760,81584,6163120,0,0,19384,44,601,1374,20,1,73,7,0,21:22:21 2019-05-28
1,0,0,135420,81584,6147312,0,0,20228,0,679,1649,22,1,74,3,0,21:22:22 2019-05-28
1,0,0,134348,81584,6147728,0,0,20624,0,647,1958,22,1,74,3,0,21:22:23 2019-05-28
0,1,0,129400,81584,6151936,0,0,21492,0,669,1178,22,1,74,3,0,21:22:24 2019-05-28
1,0,0,126872,81584,6155092,0,0,20248,0,678,1736,23,1,74,3,0,21:22:25 2019-05-28
2,0,0,121300,81592,6160740,0,0,17408,20,699,1973,23,3,69,5,0,21:22:26 2019-05-28
2,0,0,136488,81592,6145092,0,0,29240,136,901,1940,34,1,55,10,0,21:22:27 2019-05-28
2,0,0,130408,81592,6151260,0,0,32152,0,996,2001,37,1,53,9,0,21:22:28 2019-05-28
3,0,0,124096,81592,6157512,0,0,28904,0,907,1916,35,1,54,10,0,21:22:29 2019-05-28
2,0,0,123956,81592,6157040,0,0,28952,0,883,1004,36,1,55,8,0,21:22:30 2019-05-28
1,0,0,122668,81600,6158108,0,0,19624,40,655,1353,23,1,73,3,0,21:22:31 2019-05-28
1,0,0,137080,81600,6142932,0,0,20972,0,672,1331,24,0,74,2,0,21:22:32 2019-05-28
0,1,0,126584,81600,6153536,0,0,20244,0,647,1946,22,1,74,3,0,21:22:33 2019-05-28
2,0,0,120536,81600,6160456,0,0,20224,0,685,1692,23,1,74,2,0,21:22:34 2019-05-28
1,0,0,118580,81600,6162468,0,0,20248,0,662,2007,23,0,74,3,0,21:22:35 2019-05-28
1,0,0,121508,81608,6159196,0,0,18856,20,664,1875,22,1,73,4,0,21:22:36 2019-05-28
1,0,0,123396,81608,6157088,0,0,20244,0,700,1334,23,1,74,3,0,21:22:37 2019-05-28
1,0,0,121440,81608,6158780,0,0,19804,0,663,1983,23,1,74,3,0,21:22:38 2019-05-28
0,1,0,123096,81608,6157104,0,0,20676,0,614,1541,22,1,75,3,0,21:22:39 2019-05-28
1,0,0,123428,81608,6156512,0,0,20240,0,668,1676,22,1,74,3,0,21:22:40 2019-05-28
1,0,0,117388,81616,6162636,0,0,18736,20,717,1994,24,1,71,4,0,21:22:41 2019-05-28
0,1,0,122528,81616,6156764,0,0,20624,0,663,1349,23,0,74,3,0,21:22:42 2019-05-28
2,0,0,116716,81616,6162148,0,0,20240,0,668,1216,24,1,74,2,0,21:22:43 2019-05-28
3,0,0,118776,81616,6160240,0,0,20240,0,643,1612,23,1,74,2,0,21:22:44 2019-05-28
1,0,0,121608,81616,6157916,0,0,20248,0,668,1681,23,1,74,2,0,21:22:45 2019-05-28
1,0,0,120096,81624,6158360,0,0,19852,20,675,2069,22,1,73,4,0,21:22:46 2019-05-28
0,2,0,121112,81624,6157324,0,0,18456,24616,695,1925,20,1,72,7,0,21:22:47 2019-05-28
1,0,0,115980,81624,6162716,0,0,18472,4,732,2045,17,1,70,12,0,21:22:48 2019-05-28
0,4,0,117644,81636,6159420,0,0,8888,176272,500,2091,11,1,43,46,0,21:22:49 2019-05-28
1,3,0,118600,81636,6158412,0,0,4804,66564,383,2371,6,1,50,44,0,21:22:50 2019-05-28
0,4,0,119004,81640,6158596,0,0,5328,20480,416,2622,7,1,49,43,0,21:22:51 2019-05-28
0,4,0,114972,81640,6162324,0,0,6308,65536,441,2503,7,1,49,42,0,21:22:52 2019-05-28
0,4,0,111716,81640,6165304,0,0,5724,32768,413,2276,6,1,50,43,0,21:22:53 2019-05-28
1,3,0,118196,81644,6159624,0,0,5776,56316,397,2208,8,0,49,42,0,21:22:54 2019-05-28
1,4,0,113388,81644,6163720,0,0,6704,33796,447,2609,7,1,50,42,0,21:22:55 2019-05-28
0,4,0,116812,81644,6159868,0,0,6540,32768,435,2874,8,0,49,42,0,21:22:56 2019-05-28
0,4,0,113264,81648,6163544,0,0,6284,63492,422,1800,8,1,49,42,0,21:22:57 2019-05-28
1,3,0,109868,81648,6166672,0,0,5784,32768,413,1966,7,0,49,43,0,21:22:58 2019-05-28
0,4,0,116160,81648,6160260,0,0,6384,32768,420,2414,7,1,49,42,0,21:22:59 2019-05-28
0,3,0,113852,81652,6162328,0,0,5908,32768,410,2476,7,1,50,42,0,21:23:00 2019-05-28
0,3,0,110272,81652,6165920,0,0,6136,22528,405,2111,7,1,51,42,0,21:23:01 2019-05-28
0,3,0,116788,81652,6159212,0,0,6160,0,406,2138,7,1,49,42,0,21:23:02 2019-05-28
0,3,0,115028,81652,6161100,0,0,5772,0,385,1761,7,1,49,43,0,21:23:03 2019-05-28
0,2,0,120716,81800,6154724,0,0,11208,56,614,1469,13,1,58,29,0,21:23:04 2019-05-28
0,1,0,118632,82168,6156432,0,0,18848,0,765,2047,21,1,73,5,0,21:23:05 2019-05-28
1,0,0,112228,82168,6162912,0,0,19808,0,673,1579,22,1,74,3,0,21:23:06 2019-05-28
1,0,0,117972,82168,6157248,0,0,20676,0,687,1430,24,0,74,2,0,21:23:07 2019-05-28
0,1,0,116504,82168,6158876,0,0,20240,0,651,1566,22,2,74,2,0,21:23:08 2019-05-28
1,0,0,110844,82176,6164572,0,0,18732,32,655,1701,23,1,74,2,0,21:23:09 2019-05-28
1,0,0,116668,82176,6158012,0,0,20244,0,694,2003,23,1,74,2,0,21:23:10 2019-05-28
1,0,0,114884,82176,6158056,0,0,20236,0,680,1991,23,1,74,2,0,21:23:11 2019-05-28
1,0,0,111456,82176,6160184,0,0,20244,0,688,1771,22,1,74,3,0,21:23:12 2019-05-28
1,0,0,115932,82180,6155232,0,0,14760,4,819,1810,17,2,68,14,0,21:23:13 2019-05-28
1,0,0,111936,82188,6158680,0,0,19468,68,680,1673,23,1,73,4,0,21:23:14 2019-05-28
1,0,0,110220,82188,6161184,0,0,19764,0,692,1728,22,1,74,3,0,21:23:15 2019-05-28
2,0,0,109892,82188,6160676,0,0,20232,0,653,1966,22,1,74,3,0,21:23:16 2019-05-28
1,0,0,115824,82188,6154488,0,0,19856,0,652,1302,22,1,74,3,0,21:23:17 2019-05-28
1,0,0,112180,82188,6157892,0,0,20632,0,679,1325,23,1,74,2,0,21:23:18 2019-05-28
