sda             76,00    0,00  20240,00      0,00     0,00     0,00   0,00   0,00    5,26    0,00   0,40   266,32     0,00   3,37  25,60
sda             72,00   14,00  19328,00     76,00     0,00     5,00   0,00  26,32    7,33    0,00   0,53   268,44     5,43   3,91  33,60
sda             77,00    0,00  20644,00      0,00     0,00     0,00   0,00   0,00    4,73    0,00   0,37   268,10     0,00   3,27  25,20
sda             82,00    0,00  21444,00      0,00     0,00     0,00   0,00   0,00    3,85    0,00   0,31   261,51     0,00   2,78  22,80
sda             72,00    2,00  19552,00     20,00     1,00     3,00   1,37  60,00    5,17   28,00   0,43   271,56    10,00   3,89  28,80
sda             79,00    0,00  20928,00      0,00     0,00     0,00   0,00   0,00    5,32    0,00   0,42   264,91     0,00   3,59  28,40
sda             76,00    0,00  20244,00      0,00     0,00     0,00   0,00   0,00    5,53    0,00   0,42   266,37     0,00   3,68  28,00
sda             77,00    0,00  20496,00      0,00     0,00     0,00   0,00   0,00    4,88    0,00   0,39   266,18     0,00   3,48  26,80
sda             77,00    0,00  20420,00      0,00     0,00     0,00   0,00   0,00    5,19    0,00   0,39   265,19     0,00   3,43  26,40
sda             75,00    2,00  20240,00     20,00     1,00     3,00   1,32  60,00    5,60   14,00   0,45   269,87    10,00   3,84  29,60
sda             78,00    0,00  20900,00      0,00     0,00     0,00   0,00   0,00    4,87    0,00   0,38   267,95     0,00   3,33  26,00
sda             78,00    0,00  20972,00      0,00     0,00     0,00   0,00   0,00    4,92    0,00   0,38   268,87     0,00   3,38  26,40
sda             78,00    0,00  20612,00      0,00     0,00     0,00   0,00   0,00    4,41    0,00   0,34   264,26     0,00   2,97  23,20
sda             78,00    0,00  20728,00      0,00     0,00     0,00   0,00   0,00    4,26    0,00   0,33   265,74     0,00   2,87  22,40
sda             75,00    2,00  20240,00     24,00     1,00     4,00   1,32  66,67    5,23   10,00   0,41   269,87    12,00   3,64  28,00
sda             78,00    0,00  20996,00      0,00     0,00     0,00   0,00   0,00    4,15    0,00   0,32   269,18     0,00   2,92  22,80
